"C:\Program Files\Java\jdk-14.0.2\bin\java.exe" "-javaagent:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2020.2.1\lib\idea_rt.jar=60291:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2020.2.1\bin" -Dfile.encoding=UTF-8 -classpath "C:\2020\COS 710\Assignment 3\out\production\Assignment 3" main
[*] Seed: 1602097142198
Gen 2800 best accuracy: 0.679324894514768
Gen 4600 best accuracy: 0.5555555555555556
Gen 4600 best accuracy: 0.6351931330472103
Gen 2400 best accuracy: 0.680327868852459
Gen 4600 best accuracy: 0.5485232067510548
Gen 4400 best accuracy: 0.6324786324786325
Gen 4400 best accuracy: 0.7
Gen 2600 best accuracy: 0.6297872340425532
Gen 2600 best accuracy: 0.6611570247933884
Gen 2800 best accuracy: 0.7383966244725738
Gen 4800 best accuracy: 0.7217391304347827
Gen 4800 best accuracy: 0.7656903765690377
Gen 4400 best accuracy: 0.6188340807174888
Gen 4400 best accuracy: 0.6512605042016807
Gen 2600 best accuracy: 0.6720647773279352
Gen 4600 best accuracy: 0.6260162601626016
Gen 2600 best accuracy: 0.688034188034188
Gen 4400 best accuracy: 0.5936254980079682
Gen 4800 best accuracy: 0.7763713080168776
Gen 2600 best accuracy: 0.7131147540983607
Gen 4800 best accuracy: 0.6331877729257642
Gen 4800 best accuracy: 0.5555555555555556
Gen 4800 best accuracy: 0.6909871244635193
Gen 2800 best accuracy: 0.6610878661087866
Gen 2800 best accuracy: 0.6949152542372882
Gen 4800 best accuracy: 0.5485232067510548
Gen 4600 best accuracy: 0.6324786324786325
Gen 5000 best accuracy: 0.7656903765690377
Gen 4600 best accuracy: 0.7304347826086957
Gen 5000 best accuracy: 0.7217391304347827
Gen 4600 best accuracy: 0.6188340807174888
Gen 3000 best accuracy: 0.679324894514768
Gen 2800 best accuracy: 0.7383966244725738
Gen 3000 best accuracy: 0.6638297872340425
Gen 4600 best accuracy: 0.6512605042016807
Gen 4800 best accuracy: 0.6260162601626016
Gen 5000 best accuracy: 0.6331877729257642
Gen 4600 best accuracy: 0.5936254980079682
Gen 5000 best accuracy: 0.5555555555555556
Gen 5000 best accuracy: 0.7763713080168776
Gen 5000 best accuracy: 0.6909871244635193
Gen 2800 best accuracy: 0.6893617021276596
Gen 2600 best accuracy: 0.680327868852459
Gen 3000 best accuracy: 0.7383966244725738
Gen 5000 best accuracy: 0.5485232067510548
Gen 5200 best accuracy: 0.7656903765690377
Gen 2800 best accuracy: 0.6611570247933884
Gen 4800 best accuracy: 0.6324786324786325
Gen 5200 best accuracy: 0.7217391304347827
Gen 2800 best accuracy: 0.6720647773279352
Gen 4800 best accuracy: 0.7304347826086957
Gen 2800 best accuracy: 0.688034188034188
Gen 2800 best accuracy: 0.7131147540983607
Gen 4800 best accuracy: 0.6188340807174888
Gen 4800 best accuracy: 0.6512605042016807
Gen 5200 best accuracy: 0.6331877729257642
Gen 5000 best accuracy: 0.6260162601626016
Gen 5200 best accuracy: 0.5555555555555556
Gen 4800 best accuracy: 0.5936254980079682
Gen 3000 best accuracy: 0.6949152542372882
Gen 3000 best accuracy: 0.6610878661087866
Gen 5200 best accuracy: 0.7763713080168776
Gen 5200 best accuracy: 0.6909871244635193
Gen 3200 best accuracy: 0.679324894514768
Gen 3000 best accuracy: 0.7383966244725738
Gen 3200 best accuracy: 0.6638297872340425
Gen 5200 best accuracy: 0.5485232067510548
Gen 5400 best accuracy: 0.7656903765690377
Gen 5400 best accuracy: 0.7217391304347827
Gen 5000 best accuracy: 0.6324786324786325
Gen 5000 best accuracy: 0.7565217391304347
Gen 5000 best accuracy: 0.6188340807174888
Gen 3000 best accuracy: 0.6893617021276596
Gen 5400 best accuracy: 0.6331877729257642
Gen 5000 best accuracy: 0.6512605042016807
Gen 3200 best accuracy: 0.7383966244725738
Gen 5200 best accuracy: 0.6260162601626016
Gen 5400 best accuracy: 0.5555555555555556
Gen 2800 best accuracy: 0.680327868852459
Gen 5400 best accuracy: 0.7763713080168776
